Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
3rd age bow,0,0,0,0,80,0,0,0,0,0,0,0,0.0,0,4.0
Abyssal bludgeon,0,0,102,0,0,0,0,0,0,0,85,0,0.0,0,4.0
Adamant 2h sword,-4,43,30,-4,0,0,0,0,0,-1,44,0,0.0,0,7.0
Adamant claws,18,23,-4,0,0,6,12,3,0,0,24,0,0.0,0,4.0
Adamant halberd,28,41,0,-4,0,-1,3,4,0,0,42,0,0.0,0,7.0
Adamant spear,24,24,24,0,0,1,1,0,0,0,28,0,0.0,0,5.0
Anger spear,2,2,2,0,0,1,1,0,0,0,0,0,0.0,0,5.0
Armadyl godsword,0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Armadyl godsword (or),0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Bandos godsword,0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Bandos godsword (or),0,132,80,0,0,0,0,0,0,0,132,0,0.0,8,6.0
Barrelchest anchor,-2,10,92,0,0,0,0,0,0,0,100,0,0.0,0,6.0
Beach boxing gloves,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0,4.0
Birthday cake,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Black 2h sword,-4,27,21,-4,0,0,0,0,0,-1,26,0,0.0,0,7.0
Black claws,10,14,-4,0,0,4,7,2,0,0,14,0,0.0,0,4.0
Black halberd,19,25,0,-4,0,-1,2,3,0,0,20,0,0.0,0,7.0
Black salamander,0,59,0,0,69,0,0,0,0,0,71,0,0.0,0,5.0
Black spear,15,15,15,0,0,1,1,0,0,0,16,0,0.0,0,5.0
Boxing gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,4.0
Bronze 2h sword,-4,9,8,-4,0,0,0,0,0,-1,10,0,0.0,0,7.0
Bronze claws,3,4,-4,0,0,1,2,1,0,0,5,0,0.0,0,4.0
Bronze halberd,7,8,0,-4,0,-1,1,2,0,0,8,0,0.0,0,7.0
Bronze spear,5,5,5,0,0,1,1,0,0,0,6,0,0.0,0,5.0
Clueless scroll,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Comp ogre bow,0,0,0,0,38,0,0,0,0,0,0,0,0.0,0,5.0
Corrupted bow (attuned),0,0,0,0,118,0,0,0,0,0,0,88,0.0,1,5.0
Corrupted bow (basic),0,0,0,0,72,0,0,0,0,0,0,42,0.0,1,5.0
Corrupted bow (perfected),0,0,0,0,172,0,0,0,0,0,0,138,0.0,3,5.0
Corrupted halberd (attuned),114,114,12,0,0,0,0,0,0,0,88,0,0.0,2,4.0
Corrupted halberd (basic),68,68,4,0,0,0,0,0,0,0,42,0,0.0,1,4.0
Corrupted halberd (perfected),166,166,28,0,0,0,0,0,0,0,138,0,0.0,3,4.0
Corrupted staff (attuned),0,0,0,128,0,0,0,0,0,0,0,0,0.0,2,4.0
Corrupted staff (basic),0,0,0,84,0,0,0,0,0,0,0,0,0.0,1,4.0
Corrupted staff (perfected),0,0,0,184,0,0,0,0,0,0,0,0,0.0,3,4.0
Craw's bow,0,0,0,0,75,0,0,0,0,0,0,60,0.0,0,4.0
Crystal bow,0,0,0,0,100,0,0,0,0,0,0,70,0.0,0,5.0
Crystal bow (attuned),0,0,0,0,118,0,0,0,0,0,0,88,0.0,1,5.0
Crystal bow (basic),0,0,0,0,72,0,0,0,0,0,0,42,0.0,1,5.0
Crystal bow (perfected),0,0,0,0,172,0,0,0,0,0,0,138,0.0,3,5.0
Crystal halberd,85,110,5,-4,2,-1,4,5,0,0,118,0,0.0,0,7.0
Crystal halberd (attuned),114,114,12,0,0,0,0,0,0,0,88,0,0.0,2,4.0
Crystal halberd (basic),68,68,4,0,0,0,0,0,0,0,42,0,0.0,1,4.0
Crystal halberd (perfected),166,166,28,0,0,0,0,0,0,0,138,0,0.0,3,4.0
Crystal staff (attuned),0,0,0,128,0,0,0,0,0,0,0,0,0.0,2,4.0
Crystal staff (basic),0,0,0,84,0,0,0,0,0,0,0,0,0.0,1,4.0
Crystal staff (perfected),0,0,0,184,0,0,0,0,0,0,0,0,0.0,3,4.0
Cursed banana,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
Dark bow,0,0,0,0,95,0,0,0,0,0,0,0,0.0,0,9.0
Dharok's greataxe,-4,103,95,-4,0,0,0,0,0,-1,105,0,0.0,0,7.0
Dinh's bulwark,0,0,110,0,0,141,145,145,0,148,38,0,0.0,0,7.0
Dragon 2h sword,-4,92,80,-4,0,0,0,0,0,-1,93,0,0.0,0,7.0
Dragon claws,41,57,-4,0,0,13,26,7,0,0,56,0,0.0,0,4.0
Dragon halberd,70,95,0,-4,0,-1,4,5,0,0,89,0,0.0,0,7.0
Dragon spear,55,55,55,0,0,5,5,5,5,5,60,0,0.0,0,5.0
Dual sai,11,8,-4,-4,0,0,0,0,0,0,14,0,0.0,0,5.0
Elder maul,0,0,135,-4,0,0,0,0,0,0,147,0,0.0,0,6.0
Gadderhammer,-4,-4,35,-4,0,0,0,0,0,0,35,0,0.0,0,5.0
