Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
20th anniversary top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
3rd age druidic robe top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,
3rd age platebody,0,0,0,-20,0,96,108,113,-4,97,0,0,0.0,0,
3rd age range top,0,0,0,-15,30,55,47,60,60,55,0,0,0.0,0,
3rd age robe top,0,0,0,24,0,0,0,0,24,0,0,0,0.0,0,
Adamant chainbody,0,0,0,-15,0,36,50,61,-3,38,0,0,0.0,0,
Adamant platebody,0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (g),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (h1),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (h2),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (h3),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (h4),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (h5),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Adamant platebody (t),0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Ahrim's robetop#(broken),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Ahrim's robetop#100,0,0,0,30,-10,52,37,63,30,0,0,0,0.0,0,
Ahrim's robetop#25,0,0,0,30,-10,52,37,63,30,0,0,0,0.0,0,
Ahrim's robetop#50,0,0,0,30,-10,52,37,63,30,0,0,0,0.0,0,
Ahrim's robetop#75,0,0,0,30,-10,52,37,63,30,0,0,0,0.0,0,
Ahrim's robetop#Undamaged,0,0,0,30,-10,52,37,63,30,0,0,0,0.0,0,
Ancestral robe top,0,0,0,35,-8,42,31,51,28,0,0,0,0.02,0,
Ancient d'hide body,0,0,0,-15,30,55,47,60,50,55,0,0,0.0,1,
Ancient platebody,0,0,0,-30,-10,82,80,72,-6,80,0,0,0.0,1,
Ancient robe top,0,0,0,4,0,0,0,0,4,0,0,0,0.0,6,
Angler top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Ankou top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Antisanta jacket,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Ardougne knight platebody,0,0,0,-30,-10,21,20,12,-6,20,0,0,0.0,0,
Armadyl chestplate,-7,-7,-7,-15,33,56,48,61,70,57,0,0,0.0,1,
Armadyl d'hide body,0,0,0,-15,30,55,47,60,50,55,0,0,0.0,1,
Armadyl platebody,0,0,0,-30,-10,82,80,72,-6,80,0,0,0.0,1,
Armadyl robe top,0,0,0,4,0,0,0,0,4,0,0,0,0.0,6,
Bandos chestplate,0,0,0,-15,-10,98,93,105,-6,133,4,0,0.0,1,
Bandos d'hide body,0,0,0,-15,30,55,47,60,50,55,0,0,0.0,1,
Bandos platebody,0,0,0,-30,-10,82,80,72,-6,80,0,0,0.0,1,
Bandos robe top,0,0,0,4,0,0,0,0,4,0,0,0,0.0,6,
Banshee top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Beekeeper's top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Black chainbody,0,0,0,-15,0,22,32,39,-3,24,0,0,0.0,0,
Black d'hide body,0,0,0,-15,30,55,47,60,50,55,0,0,0.0,0,
Black d'hide body (g),0,0,0,-15,30,55,47,60,50,55,0,0,0.0,0,
Black d'hide body (t),0,0,0,-15,30,55,47,60,50,55,0,0,0.0,0,
Black desert shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Black elegant shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Black naval shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Black platebody,0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (g),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (h1),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (h2),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (h3),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (h4),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (h5),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black platebody (t),0,0,0,-30,-10,41,40,30,-6,40,0,0,0.0,0,
Black robe,0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Black wizard robe (g),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Black wizard robe (t),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Bloodbark body,0,0,0,18,0,53,39,64,24,0,0,0,0.0,0,
Blue d'hide body,0,0,0,-15,20,45,37,50,30,45,0,0,0.0,0,
Blue d'hide body (g),0,0,0,-15,20,45,37,50,30,45,0,0,0.0,0,
Blue d'hide body (t),0,0,0,-15,20,45,37,50,30,45,0,0,0.0,0,
Blue elegant blouse,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Blue elegant shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Blue naval shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Blue robe top,0,0,0,0,0,0,2,2,0,0,0,0,0.0,0,
Blue wizard robe,0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Blue wizard robe (g),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Blue wizard robe (t),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Bob's black shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bob's blue shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bob's green shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bob's purple shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bob's red shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bomber jacket,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bronze chainbody,0,0,0,-15,0,7,11,13,-3,9,0,0,0.0,0,
Bronze platebody,0,0,0,-30,-10,15,14,9,-6,14,0,0,0.0,0,
Bronze platebody (g),0,0,0,-30,-10,15,14,9,-6,14,0,0,0.0,0,
Bronze platebody (t),0,0,0,-30,-10,15,14,9,-6,14,0,0,0.0,0,
Brown apron,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Brown naval shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Builder's shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bunny top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Camo top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Carnillean armour,0,0,0,0,0,20,14,8,0,0,0,0,0.0,0,
Carpenter's shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Chicken wings,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Citizen top,0,0,0,0,0,0,2,2,0,0,0,0,0.0,0,
Clown gown,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Clue hunter garb,0,0,0,-2,2,8,9,10,4,9,0,0,0.0,0,
Corrupted body (attuned),12,12,4,12,12,102,102,102,102,102,0,0,0.0,4,
Corrupted body (basic),8,8,3,8,8,86,86,86,86,86,0,0,0.0,3,
Corrupted body (perfected),15,16,5,16,16,124,124,124,124,124,0,0,0.0,5,
Corrupted platebody,0,0,0,-30,-10,21,20,12,-6,20,0,0,0.0,0,
Cow top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Cream robe top,0,0,0,0,0,0,2,2,0,0,0,0,0.0,0,
Crier coat,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Crystal body (attuned),12,12,4,12,12,102,102,102,102,102,0,0,0.0,4,
Crystal body (basic),8,8,3,8,8,86,86,86,86,86,0,0,0.0,3,
Crystal body (perfected),15,16,5,16,16,124,124,124,124,124,0,0,0.0,5,
Crystal body#Active,0,0,0,-18,30,34,24,32,44,53,0,0,0.0,3,
Crystal body#Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Dagon'hai robe top,0,0,0,25,0,0,0,0,21,0,0,0,0.0,2,
Dark infinity top,0,0,0,22,0,0,0,0,22,0,0,0,0.0,0,
Dark tuxedo jacket,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Deadman's chest#Cosmetic,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Deadman's chest#Deadman_mode,0,0,0,-30,-10,21,20,12,-6,20,0,0,0.0,0,
Decorative armour (gold platebody)#Broken,0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Decorative armour (gold platebody)#Locked,0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Decorative armour (gold platebody)#Normal,0,0,0,-30,-10,65,63,55,-6,63,0,0,0.0,0,
Decorative armour (magic top)#Broken,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (magic top)#Locked,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (magic top)#Normal,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (ranged top)#Broken,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (ranged top)#Locked,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (ranged top)#Normal,0,0,0,0,0,20,20,20,20,20,0,0,0.0,0,
Decorative armour (red platebody),0,0,0,-30,-10,32,31,24,-6,31,0,0,0.0,0,
Decorative armour (white platebody),0,0,0,-30,-10,46,44,38,-6,44,0,0,0.0,0,
Desert camo top,0,0,0,0,0,10,15,19,0,12,0,0,0.0,0,
Desert shirt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Desert top,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
