Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
3rd age cloak,0,0,0,0,0,9,9,9,9,9,0,0,0.0,5,
3rd age druidic cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Accumulator max cape,0,0,0,0,4,0,1,0,4,0,0,0,0.0,0,
Achievement diary cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Agility cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Agility cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Ancient cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Ardougne cloak 1,2,0,0,2,0,2,0,0,2,0,0,0,0.0,2,
Ardougne cloak 2,4,0,0,4,0,4,0,0,4,0,0,0,0.0,4,
Ardougne cloak 3,5,0,0,5,0,5,0,0,5,0,0,0,0.0,5,
Ardougne cloak 4,6,0,0,6,0,6,0,0,6,0,0,0,0.0,6,
Ardougne max cape,6,0,0,6,0,6,0,0,6,0,0,0,0.0,6,
Armadyl cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Assembler max cape,0,0,0,0,8,1,1,1,8,2,0,2,0.0,0,
Attack cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Attack cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Ava's accumulator,0,0,0,0,4,0,1,0,4,0,0,0,0.0,0,
Ava's assembler,0,0,0,0,8,1,1,1,8,2,0,2,0.0,0,
Ava's attractor,0,0,0,0,2,0,0,0,2,0,0,0,0.0,0,
Banana cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Bandos cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Black cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Blue cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Bonesack,0,0,0,0,0,4,4,4,4,4,0,0,0.0,0,
Cabbage cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Cape of legends,0,0,0,0,0,7,7,7,7,7,0,0,0.0,0,
Cape of skulls,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Castlewars cloak (Saradomin),0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Castlewars cloak (Zamorak),0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Clue hunter cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Construct. cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Construct. cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Cooking cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Cooking cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Crafting cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Crafting cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Deadman's cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Decorative armour (quiver),0,0,0,0,0,4,4,4,4,4,0,0,0.0,0,
Defence cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Defence cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Farming cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Farming cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Fire cape,1,1,1,1,1,11,11,11,11,11,4,0,0.0,2,
Fire max cape,1,1,1,1,1,11,11,11,11,11,4,0,0.0,2,
Firemaking cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Firemaking cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Fish sack,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fish sack barrel,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fishing cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Fishing cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Fletching cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Fletching cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Fremennik black cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik blue cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik brown cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik cyan cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik green cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik grey cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik pink cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik purple cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik red cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik teal cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Fremennik yellow cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Ghostly cloak,0,0,0,5,0,0,0,0,5,0,0,0,0.0,0,
Green cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Guthix cape,0,0,0,10,0,1,1,2,10,0,0,0,0.0,0,
Guthix cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Guthix max cape,0,0,0,10,0,1,1,2,10,0,0,0,0.0,0,
Ham cloak,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Herblore cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Herblore cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Hitpoints cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Hitpoints cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Hunter cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Hunter cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Imbued guthix cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Imbued guthix max cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Imbued saradomin cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Imbued saradomin max cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Imbued zamorak cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Imbued zamorak max cape,0,0,0,15,0,3,3,3,15,0,0,0,0.02,0,
Infernal cape,4,4,4,1,1,12,12,12,12,12,8,0,0.0,2,
Infernal max cape,4,4,4,1,1,12,12,12,12,12,8,0,0.0,2,
Lunar cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Magic cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Magic cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Max cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Mining cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Mining cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Moonclan cape,0,0,0,2,-2,0,1,1,2,-2,0,0,0.0,0,
Music cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Music cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Mythical cape,0,0,6,0,0,8,8,8,8,8,1,0,0.0,1,
Mythical max cape,0,0,6,0,0,8,8,8,8,8,1,0,0.0,1,
Obsidian cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Obsidian cape (r),0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Orange cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Ornate cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Pink cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Prayer cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Prayer cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Purple cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Quest point cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Quest point cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Ranging cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Ranging cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Red cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Runecraft cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Runecraft cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Saradomin cape,0,0,0,10,0,1,1,2,10,0,0,0,0.0,0,
Saradomin cloak,0,0,0,1,0,3,3,3,3,3,0,0,0.0,3,
Saradomin max cape,0,0,0,10,0,1,1,2,10,0,0,0,0.0,0,
Slayer cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Slayer cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Smithing cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Smithing cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Spotted cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Spottier cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Strength cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,4,
Strength cape,0,0,0,0,0,9,9,9,9,9,0,0,0.0,0,
Team cape i,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team cape x,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team cape zero,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-1 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-10 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-11 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-12 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-13 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-14 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-15 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-16 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-17 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-18 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-19 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-2 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-20 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-21 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-22 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-23 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-24 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-25 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-26 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-27 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-28 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-29 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-3 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-30 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-31 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-32 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-33 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-34 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-35 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-36 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-37 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-38 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-39 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-4 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-40 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-41 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-42 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-43 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-44 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-45 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-46 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-47 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-48 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-49 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-5 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-50 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-6 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-7 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
Team-8 cape,0,0,0,0,0,0,1,1,0,2,0,0,0.0,0,
