Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
Adamant boots,0,0,0,-3,-1,10,11,12,0,0,1,0,0.0,0,
Ancient d'hide boots,0,0,0,-10,7,4,4,4,4,4,0,0,0.0,1,
Armadyl d'hide boots,0,0,0,-10,7,4,4,4,4,4,0,0,0.0,1,
Bandos boots,0,0,0,-5,-3,17,18,19,0,15,0,0,0.0,1,
Bandos d'hide boots,0,0,0,-10,7,4,4,4,4,4,0,0,0.0,1,
Black boots,0,0,0,-3,-1,7,8,9,0,0,0,0,0.0,0,
Bloodbark boots,0,0,0,4,0,5,4,6,5,0,0,0,0.0,0,
Blue boots,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,
Boots of brimstone,3,0,0,3,5,10,10,10,5,5,0,0,0.0,0,
Boots of darkness,0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Boots of lightness,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,
Boots of stone,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,
Bronze boots,0,0,0,-3,-1,1,2,3,0,0,0,0,0.0,0,
Citizen shoes,0,0,0,0,0,0,2,2,0,0,0,0,0.0,0,
Climbing boots,0,0,0,0,0,0,2,2,0,0,2,0,0.0,0,
Climbing boots (g),0,0,0,0,0,0,2,2,0,0,2,0,0.0,0,
Clue hunter boots,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,
Cream boots,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,
Dark flippers,-2,-2,-2,0,0,0,1,1,0,0,0,0,0.0,0,
Decorative boots (gold),0,0,0,-3,-1,10,11,12,0,0,1,0,0.0,0,
Decorative boots (red),0,0,0,-3,-1,5,6,7,0,0,0,0,0.0,0,
Decorative boots (white),0,0,0,-3,-1,8,9,10,0,0,0,0,0.0,0,
Dragon boots,0,0,0,-3,-1,16,17,18,0,0,4,0,0.0,0,
Dragon boots (g),0,0,0,-3,-1,16,17,18,0,0,4,0,0.0,0,
Dragonstone boots,0,0,0,-3,-1,12,13,14,0,0,2,0,0.0,0,
Eternal boots,0,0,0,8,0,5,5,5,8,5,0,0,0.0,0,
Fancy boots,0,0,0,-3,-1,1,2,3,0,0,0,0,0.0,0,
Fighting boots,0,0,0,-3,-1,1,2,3,0,0,0,0,0.0,0,
Flippers,-2,-2,-2,0,0,0,1,1,0,0,0,0,0.0,0,
Fremennik boots,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,
Fremennik sea boots 1,0,0,0,-3,-1,2,3,4,0,0,0,0,0.0,0,
