Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
20th anniversary gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
3rd age vambraces,0,0,0,-10,11,6,5,7,9,0,0,0,0.0,0,
Abyssal bracelet#(1),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Abyssal bracelet#(2),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Abyssal bracelet#(3),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Abyssal bracelet#(4),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Abyssal bracelet#(5),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Adamant gloves,7,7,7,4,7,7,7,7,4,7,7,0,0.0,0,
Ancient bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,1,
Ankou gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Antisanta gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Armadyl bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,1,
Bandos bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,1,
Barrows gloves,12,12,12,6,12,12,12,12,6,12,12,0,0.0,0,
Beekeeper's gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Black d'hide vambraces,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,0,
Black gloves,5,5,5,3,5,5,5,5,3,5,5,0,0.0,0,
Black spiky vambraces,0,0,0,-10,11,6,5,7,8,0,2,0,0.0,0,
Bloodbark gauntlets,0,0,0,4,0,5,4,6,5,0,0,0,0.0,0,
Blue d'hide vambraces,0,0,0,-10,9,4,3,5,4,0,0,0,0.0,0,
Blue spiky vambraces,0,0,0,-10,9,4,3,5,4,0,2,0,0.0,0,
Bracelet of clay,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bracelet of ethereum#Charged,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bracelet of ethereum#Uncharged,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bracelet of slaughter,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Bronze gloves,2,2,2,1,2,2,2,2,1,2,2,0,0.0,0,
Bunny paws,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Castle wars bracelet#(1),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Castle wars bracelet#(2),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Castle wars bracelet#(3),0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Chaos gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0.0,0,
Clue hunter gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Combat bracelet#(1),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#(2),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#(3),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#(4),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#(5),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#(6),7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Combat bracelet#Uncharged,7,7,7,3,7,5,5,5,3,5,6,0,0.0,0,
Cooking gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0.0,0,
Cow gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Crab claw,0,0,0,0,0,3,4,2,0,0,1,0,0.0,0,
Crabclaw hook,0,0,0,0,0,3,5,3,0,0,1,0,0.0,0,
Dark tuxedo cuffs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Diamond bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Dragon gloves,9,9,9,5,9,9,9,9,5,9,9,0,0.0,0,
Dragonstone bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Dragonstone gauntlets,8,8,8,-4,8,8,8,8,-4,4,4,0,0.0,0,
Elven gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Emerald bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Expeditious bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Expert mining gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Ferocious gloves,16,16,16,-16,-16,0,0,0,0,0,14,0,0.0,0,
Flamtaer bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Fremennik gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Ghostly gloves,0,0,0,2,0,0,0,0,2,0,0,0,0.0,0,
Gilded d'hide vambraces,0,0,0,-10,8,3,2,4,2,0,0,0,0.0,0,
Gloves of darkness,0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Gloves of silence,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Gold bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Goldsmith gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0.0,0,
Graceful gloves#Agility_Arena,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Arceuus,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Hallowed,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Hosidius,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Kourend,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Lovakengj,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Piscarilius,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Regular,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Shayzien,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Graceful gloves#Trailblazer,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Granite gloves,5,5,9,-3,-1,8,8,8,-3,5,7,0,0.0,0,
Gravedigger gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Green d'hide vambraces,0,0,0,-10,8,3,2,4,2,0,0,0,0.0,0,
Green spiky vambraces,0,0,0,-10,8,3,2,4,2,0,2,0,0.0,0,
Grey gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Guthix bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,1,
Ham gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Hardleather gloves,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,
Holy wraps,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,
Ice gloves,0,0,0,0,0,0,3,4,0,2,0,0,0.0,0,
Infinity gloves,0,0,0,5,0,0,0,0,5,0,0,0,0.0,0,
Inoculation bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Iron gloves,3,3,3,2,3,3,3,3,2,3,3,0,0.0,0,
Jade bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Karamja gloves 1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,
Karamja gloves 2,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,
Karamja gloves 3,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,
Karamja gloves 4,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,
Klank's gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0.0,0,
Leather gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Leather vambraces,0,0,0,0,4,2,2,1,0,0,0,0,0.0,0,
Light tuxedo cuffs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Lunar gloves,0,0,0,4,-1,2,1,1,2,0,0,0,0.0,0,
Mime gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Mining gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Mithril gloves,6,6,6,3,6,6,6,6,3,6,6,0,0.0,0,
Moonclan gloves,0,0,0,2,-5,2,2,2,2,-5,0,0,0.0,0,
Mourner gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Mummy's hands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Mystic gloves,0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Mystic gloves (dark),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Mystic gloves (dusk),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Mystic gloves (light),0,0,0,3,0,0,0,0,3,0,0,0,0.0,0,
Onyx bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Opal bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Ornate gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Penance gloves,0,0,0,0,0,0,3,4,0,2,0,0,0.0,0,
Pirate's hook,0,0,0,0,0,1,5,3,0,0,0,0,0.0,0,
Purple gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Ranger gloves,0,0,0,-10,11,1,2,1,2,0,0,0,0.0,0,
Red d'hide vambraces,0,0,0,-10,10,5,4,6,6,0,0,0,0.0,0,
Red gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Red spiky vambraces,0,0,0,-10,10,5,4,6,6,0,2,0,0.0,0,
Regen bracelet,8,8,8,3,7,6,6,6,3,6,7,0,0.0,0,
Rock-shell gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Rogue gloves,0,0,0,0,0,2,2,2,2,2,0,0,0.0,0,
Ruby bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Rune gloves,8,8,8,4,8,8,8,8,4,8,8,0,0.0,0,
Samurai gloves,2,2,2,2,2,3,3,3,3,3,0,0,0.0,0,
Santa gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Sapphire bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Saradomin bracers,0,0,0,-10,11,6,5,7,8,0,0,0,0.0,1,
Shayzien gloves (1),0,0,0,-1,0,0,0,1,-1,0,0,0,0.0,0,
Shayzien gloves (2),0,0,1,-1,0,0,0,1,-1,0,1,0,0.0,0,
Shayzien gloves (3),0,0,2,-1,0,0,0,1,-1,0,2,0,0.0,0,
Shayzien gloves (4),0,0,2,-1,0,0,1,2,-1,1,2,0,0.0,0,
Shayzien gloves (5),0,0,2,-1,0,0,2,3,-1,2,3,0,0.0,0,
Skeletal gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Skeleton gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Slayer gloves,0,0,0,0,0,4,5,3,0,0,0,0,0.0,0,
Snakeskin vambraces,0,0,0,-5,6,2,2,2,1,0,0,0,0.0,0,
Snow imp costume gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Spiky vambraces,0,0,0,0,4,2,2,1,0,0,2,0,0.0,0,
Spined gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Splitbark gauntlets,0,0,0,2,-1,3,2,4,2,0,0,0,0.0,0,
Spookier gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Spooky gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Steel gauntlets,2,2,2,0,0,8,9,7,0,0,2,0,0.0,0,
Steel gloves,4,4,4,2,4,4,4,4,2,4,4,0,0.0,0,
Superior mining gloves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Swampbark gauntlets,0,0,0,3,0,4,3,5,4,0,0,0,0.0,0,
Teal gloves,0,0,0,0,0,0,1,2,0,0,0,0,0.0,0,
Topaz bracelet,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Tormented bracelet,0,0,0,10,0,0,0,0,0,0,0,0,0.05,2,
Tormented bracelet (or),0,0,0,10,0,0,0,0,0,0,0,0,0.05,2,
