Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
20th anniversary hat,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
3rd age full helmet,0,0,0,-5,-2,47,49,43,-3,48,0,0,0.0,0,
3rd age mage hat,0,0,0,8,0,0,0,0,8,0,0,0,0.0,0,
3rd age range coif,0,0,0,-2,9,4,7,10,5,8,0,0,0.0,0,
4th birthday hat,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
A powdered wig,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Accumulator max hood,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Achievement diary hood,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Adamant dragon mask,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,
Adamant full helm,0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant full helm (g),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant full helm (t),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant helm (h1),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant helm (h2),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant helm (h3),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant helm (h4),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant helm (h5),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Arrav),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Asgarnia),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Dorgeshuun),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Dragon),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Fairy),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Guthix),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (HAM),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Horse),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Jogre),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Kandarin),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
Adamant heraldic helm (Misthalin),0,0,0,-6,-2,19,21,16,-1,19,0,0,0.0,0,
