Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
3rd age platelegs,0,0,0,-25,-2,78,76,83,-5,75,0,0,0.0,0,
3rd age plateskirt,0,0,0,-25,-2,78,76,83,-5,75,0,0,0.0,0,
3rd age range legs,0,0,0,-10,17,31,25,33,30,31,0,0,0.0,0,
3rd age robe,0,0,0,19,0,0,0,0,19,0,0,0,0.0,0,
Adamant platelegs,0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Adamant platelegs (g),0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Adamant platelegs (t),0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Adamant plateskirt,0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Adamant plateskirt (g),0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Adamant plateskirt (t),0,0,0,-21,-7,33,31,29,-4,31,0,0,0.0,0,
Ahrim's robeskirt,0,0,0,22,-7,33,30,36,22,0,0,0,0.0,0,
Ancestral robe bottom,0,0,0,26,-7,27,24,30,20,0,0,0,0.02,0,
Ancient chaps,0,0,0,-10,17,31,25,33,28,31,0,0,0.0,1,
Ancient platelegs,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Ancient plateskirt,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Ancient robe legs,0,0,0,4,0,0,0,0,4,0,0,0,0.0,5,
Ardougne knight platelegs,0,0,0,-21,-7,11,10,10,-4,10,0,0,0.0,0,
Armadyl chainskirt,-6,-6,-6,-10,20,32,26,34,40,33,0,0,0.0,1,
Armadyl chaps,0,0,0,-10,17,31,25,33,28,31,0,0,0.0,1,
Armadyl platelegs,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Armadyl plateskirt,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Armadyl robe legs,0,0,0,4,0,0,0,0,4,0,0,0,0.0,5,
Bandos chaps,0,0,0,-10,17,31,25,33,28,31,0,0,0.0,1,
Bandos platelegs,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Bandos plateskirt,0,0,0,-21,-7,51,49,47,-4,49,0,0,0.0,1,
Bandos robe legs,0,0,0,4,0,0,0,0,4,0,0,0,0.0,5,
Bandos tassets,0,0,0,-21,-7,71,63,66,-4,93,2,0,0.0,1,
Black d'hide chaps,0,0,0,-10,17,31,25,33,28,31,0,0,0.0,0,
Black d'hide chaps (g),0,0,0,-10,17,31,25,33,28,31,0,0,0.0,0,
Black d'hide chaps (t),0,0,0,-10,17,31,25,33,28,31,0,0,0.0,0,
Black platelegs,0,0,0,-21,-7,21,20,19,-4,20,0,0,0.0,0,
