Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
10th squad sigil,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
20th anniversary necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
3rd age amulet,0,0,0,15,0,0,0,0,10,0,0,0,+0%,0,
Amulet of accuracy,4,4,4,4,4,0,0,0,0,0,0,0,+0%,0,
Amulet of avarice,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of blood fury,10,10,10,10,10,15,15,15,15,15,8,0,+0%,5,
Amulet of bounty,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Amulet of chemistry,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Amulet of defence,0,0,0,0,0,7,7,7,7,7,0,0,+0%,0,
Amulet of defence (t),0,0,0,0,0,7,7,7,7,7,0,0,+0%,0,
Amulet of eternal glory,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of fury,10,10,10,10,10,15,15,15,15,15,8,0,+0%,5,
Amulet of fury (or),10,10,10,10,10,15,15,15,15,15,8,0,+0%,5,
Amulet of glory (t)#(t1),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#(t2),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#(t3),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#(t4),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#(t5),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#(t6),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory (t)#Uncharged,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(1),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(2),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(3),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(4),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(5),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#(6),10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of glory#Uncharged,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of magic,0,0,0,10,0,0,0,0,0,0,0,0,+0%,0,
Amulet of magic (t),0,0,0,10,0,0,0,0,0,0,0,0,+0%,0,
Amulet of nature,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Amulet of power,6,6,6,6,6,6,6,6,6,6,6,0,+0%,1,
Amulet of power (t),6,6,6,6,6,6,6,6,6,6,6,0,+0%,1,
Amulet of strength,0,0,0,0,0,0,0,0,0,0,10,0,+0%,0,
Amulet of the damned#Full,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of the damned#Used,10,10,10,10,10,3,3,3,3,3,6,0,+0%,3,
Amulet of torture,15,15,15,0,0,0,0,0,0,0,10,0,+0%,2,
Amulet of torture (or),15,15,15,0,0,0,0,0,0,0,10,0,+0%,2,
Ancient stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Arceuus scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Armadyl pendant,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Armadyl stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Bandos stole,0,0,0,2,0,0,0,0,2,0,0,0,+0%,10,
Beads of the dead,1,1,1,1,1,1,1,1,1,1,1,0,+0%,1,
Berserker necklace,-10,-10,-10,0,0,-20,-20,-20,-20,-20,7,0,+0%,3,
Berserker necklace (or),-10,-10,-10,0,0,-20,-20,-20,-20,-20,7,0,+0%,3,
Binding necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Bobble scarf,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Bonecrusher necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,12,
Brass necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Burning amulet#(1),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Burning amulet#(2),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Burning amulet#(3),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Burning amulet#(4),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Burning amulet#(5),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Camulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Cat training medal,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Catspeak amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Catspeak amulet(e),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Clean necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Clown bow tie,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Crone-made amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Crystal pendant,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Dark bow tie,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Desert amulet 1,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Desert amulet 2,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Desert amulet 3,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Desert amulet 4,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Diamond amulet,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Diamond necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Digsite pendant#(1),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Digsite pendant#(2),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Digsite pendant#(3),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Digsite pendant#(4),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Digsite pendant#(5),0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Dodgy necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Dragon necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Dragonbone necklace,0,0,0,0,0,0,0,0,0,0,0,0,+0%,12,
