Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
Archers ring,0,0,0,0,4,0,0,0,0,4,0,0,0.0,0,
Archers ring (i),0,0,0,0,8,0,0,0,0,8,0,0,0.0,0,
Beacon ring,0,0,0,2,0,0,0,0,1,0,0,0,0.0,0,
Berserker ring,0,0,0,0,0,0,0,4,0,0,4,0,0.0,0,
Berserker ring (i),0,0,0,0,0,0,0,8,0,0,8,0,0.0,0,
Brimstone ring,4,4,4,6,4,4,4,4,6,4,4,0,0.0,0,
Granite ring,0,0,0,0,0,2,2,2,-2,8,0,0,0.0,0,
Granite ring (i),0,0,0,0,0,4,4,4,-4,16,0,0,0.0,0,
Lunar ring,0,0,0,2,0,0,0,0,2,0,0,0,0.0,0,
Ring of suffering (i),0,0,0,0,0,20,20,20,20,20,0,0,0.0,4,
Ring of suffering,0,0,0,0,0,10,10,10,10,10,0,0,0.0,2,
Ring of the gods,0,0,0,0,0,1,1,1,1,1,0,0,0.0,4,
Ring of the gods (i),0,0,0,0,0,1,1,1,1,1,0,0,0.0,8,
Seers ring,0,0,0,6,0,0,0,0,6,0,0,0,0.0,0,
Seers ring (i),0,0,0,12,0,0,0,0,12,0,0,0,0.0,0,
Treasonous ring,4,0,0,0,0,4,0,0,0,0,0,0,0.0,0,
Treasonous ring (i),8,0,0,0,0,8,0,0,0,0,0,0,0.0,0,
Tyrannical ring,0,0,4,0,0,0,0,4,0,0,0,0,0.0,0,
Tyrannical ring (i),0,0,8,0,0,0,0,8,0,0,0,0,0.0,0,
Warrior ring,0,4,0,0,0,0,4,0,0,0,0,0,0.0,0,
Warrior ring (i),0,8,0,0,0,0,8,0,0,0,0,0,0.0,0,
