Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
3rd age kiteshield,0,0,0,-10,-4,63,65,61,-3,63,0,0,+0%,0,
A chair,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Adamant defender#Broken,13,12,11,-3,-2,13,12,11,-3,-2,4,0,+0%,0,
Adamant defender#Locked,13,12,11,-3,-2,13,12,11,-3,-2,4,0,+0%,0,
Adamant defender#Normal,13,12,11,-3,-2,13,12,11,-3,-2,4,0,+0%,0,
Adamant kiteshield,0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Arrav),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Asgarnia),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Dorgeshuun),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Dragon),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Fairy),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Guthix),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (HAM),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Horse),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Jogre),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Kandarin),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Misthalin),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Money),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Saradomin),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Skull),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Varrock),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (Zamorak),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (g),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant kiteshield (t),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant shield (h1),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant shield (h2),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant shield (h3),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant shield (h4),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant shield (h5),0,0,0,-8,-2,27,31,29,-1,29,0,0,+0%,0,
Adamant sq shield,0,0,0,-6,-2,24,26,22,0,24,0,0,+0%,0,
Ancient d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,+0%,1,
Ancient kiteshield,0,0,0,-8,-2,44,48,46,-1,46,0,0,+0%,1,
Ancient wyvern shield#Charged,-10,-10,-10,15,-10,72,80,75,15,-5,-2,0,+0%,0,
Ancient wyvern shield#Uncharged,-10,-10,-10,15,-10,22,30,25,15,-55,-2,0,+0%,0,
Anti-dragon shield,0,0,0,0,0,7,9,8,2,8,0,0,+0%,0,
Anti-dragon shield (nz),0,0,0,0,0,7,9,8,2,8,0,0,+0%,0,
Arcane spirit shield,0,0,0,20,0,53,55,73,2,52,0,0,+0%,3,
Armadyl d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,+0%,1,
Armadyl kiteshield,0,0,0,-8,-2,44,48,46,-1,46,0,0,+0%,1,
Avernic defender#Broken,30,29,28,-5,-4,30,29,28,-5,-4,8,0,+0%,0,
Avernic defender#Locked,30,29,28,-5,-4,30,29,28,-5,-4,8,0,+0%,0,
Avernic defender#Normal,30,29,28,-5,-4,30,29,28,-5,-4,8,0,+0%,0,
Bandos d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,+0%,1,
Bandos kiteshield,0,0,0,-8,-2,44,48,46,-1,46,0,0,+0%,1,
Black d'hide shield,-15,-15,-11,-10,7,21,18,16,15,14,0,0,+0%,0,
Black defender#Broken,9,8,7,-3,-2,9,8,7,-3,-2,2,0,+0%,0,
Black defender#Locked,9,8,7,-3,-2,9,8,7,-3,-2,2,0,+0%,0,
Black defender#Normal,9,8,7,-3,-2,9,8,7,-3,-2,2,0,+0%,0,
Black kiteshield,0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black kiteshield (g),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black kiteshield (t),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black satchel,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Black shield (h1),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black shield (h2),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black shield (h3),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black shield (h4),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black shield (h5),0,0,0,-8,-2,17,19,18,-1,18,0,0,+0%,0,
Black sq shield,0,0,0,-6,-2,15,16,14,0,15,0,0,+0%,0,
Blessed spirit shield,0,0,0,0,0,53,55,73,2,52,0,0,+0%,3,
Blue d'hide shield,-15,-15,-11,-10,5,16,14,12,12,12,0,0,+0%,0,
Blue gingerbread shield,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Book of balance,4,4,4,4,4,4,4,4,4,4,0,0,+0%,5,
Book of darkness,0,0,0,10,0,0,0,0,0,0,0,0,+0%,5,
Book of law,0,0,0,0,10,0,0,0,0,0,0,0,+0%,5,
Book of the dead,0,0,0,6,0,0,0,0,0,0,0,0,+0%,3,
Book of war,0,0,0,0,0,0,0,0,0,0,2,0,+0%,5,
Briefcase,0,0,0,0,0,0,0,0,0,0,0,0,+0%,0,
Bronze defender#Broken,3,2,1,-3,-2,3,2,1,-3,-2,0,0,+0%,0,
Bronze defender#Locked,3,2,1,-3,-2,3,2,1,-3,-2,0,0,+0%,0,
Bronze defender#Normal,3,2,1,-3,-2,3,2,1,-3,-2,0,0,+0%,0,
Bronze kiteshield,0,0,0,-8,-2,5,7,6,-1,6,0,0,+0%,0,
Bronze kiteshield (g),0,0,0,-8,-2,5,7,6,-1,6,0,0,+0%,0,
